question,answer,context,reference
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO","Portaria nº 3.903, de 04 de novembro de 2015, Título: Portaria nº 3.903, de 04 de novembro de 2015"
Quem é o servidor designado para exercer a fiscalização e acompanhamento do contrato de seguro patrimonial para o Câmpus Boituva do IFSP?,João Augusto de Campos Avaristo,"Art 1.º - DESIGNAR, o servidor João Augusto de Campos Avaristo, CPF: XXX.625.058-XX como titular e, como substituto o servidor Rafael Augusto Rocha Maia, CPF: XXX.444.188-XX, para nos termos do artigo 67 da Lei nº 8.666/93, exercer a fiscalização e acompanhamento dos contratos abaixo relacionados:","Portaria BTV.0078/2020, de 16 de setembro de 2020, Art 1º"
"Quem é o diretor-geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo?",Felipe Augusto Ferreira de Almeida,"O DIRETOR-GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e conforme a Resolução N.° 81/2018, de 02 de outubro de 2018, RESOLVE:","Portaria BTV.0076/2020, de 09 de setembro de 2020, Art 1º"
Quem é o responsável pela Portaria BTV.0009/2021?,O Diretor Geral do Câmpus Boituva do IFSP,"O DIRETOR GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, RESOLVE:","Portaria BTV.0009/2021, de 29 de janeiro de 2021, Art. 1º"
Quais são os professores orientadores de atividades complementares do Curso de Licenciatura em Pedagogia do Câmpus Boituva?,"Agnes Cruz de Souza, Karla Paulino Tonus, Maria José Dias de Freitas e Renan Reis Fonseca.","Art 1.º - DESIGNAR, os docentes, ocupantes dos cargos de Professor Ensino Básico, Técnico e Tecnológico, pertencente ao Quadro deste IFSP, como professores orientadores de Atividades Complementares do Curso de Licenciatura em Pedagogia do Câmpus Boituva, no ano de 2021, com incentivo de 03(três) horas semanais, conforme segue: Agnes Cruz de Souza Karla Paulino Tonus Maria José Dias de Freitas Renan Reis Fonseca","PORTARIA BTV.0007/2021, DE 27 DE JANEIRO DE 2021, Art 1.º"
Quem é o responsável pela Portaria BTV.0004/2021?,"O Diretor Geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo","O DIRETOR GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, RESOLVE:","Portaria BTV.0004/2021, de 26 de janeiro de 2021, Art. 1º"
"Quem é o responsável pela fiscalização do Contrato de Aquisição de gêneros alimentícios da agricultura familiar, através do Programa Nacional de Alimentação Escolar (PNAE), para alimentação discente, no Câmpus Boituva?","A servidora Cristiane Vega Parisella, CPF: 103.783.868-83, como titular, e a servidora Sheila Joanne Ribeiro Araújo, CPF: 007.573.925-98, como substituta.","Art 1º - DESIGNAR, a servidora, Cristiane Vega Parisella, CPF: 103.783.868-83 como titular e como substituta a servidora Sheila Joanne Ribeiro Araújo, CPF: 007.573.925-98, para nos termos do artigo 67 da Lei nº 8.666/93, exercer a fiscalização e acompanhamento dos contratos abaixo relacionado:","PORTARIA BTV.0005/2021, DE 26 DE JANEIRO DE 2021, Art 1º"
Quem é o servidor designado para substituir o Coordenador de Tecnologia da Informação do Câmpus Boituva durante o período de férias?,"MARCELO MONTEIRO, ocupante do cargo de Técnico em Tecnologia da Informação","RESOLVE: DESIGNAR, o servidor MARCELO MONTEIRO, ocupante do cargo de Técnico em Tecnologia da Informação, pertencente ao Quadro Permanente deste IFSP, para substituir o Coordenador de Tecnologia da Informação (FG-02) do Câmpus Boituva, no período de 03/02/2021 a 12/02/2021, por motivo de férias.","PORTARIA BTV.0003/2021, DE 22 DE JANEIRO DE 2021, Art. 1º"
Quais são os membros designados para compor o Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas (NAPNE) do Câmpus Boituva do IFSP?,"Os membros designados são: Regiane Miranda de Andrade, Fabianne Roberta de Araújo, Elisangela Schmoller, Luciano Maria José Dias de Freitas, Livia Pereira de Paula, Newton Mitsushigue Kamimura, Andrea Gomes Nazuto Gonçalves, Gabriella Gonçalves Simões, Milton Augusto Barbosa, Alice Antônia Dondoni Neta, Roberta Akemi Sionara, Hellen Cristine Silva Araujo e Tarcila Cazetta Liberato.","Art 2º - DESIGNAR, os membros abaixo relacionados para compor o Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas. NOME REGIANE MIRANDA DE ANDRADE FABIANNE ROBERTA DE ARAÚJO ELISANGELA SCHMOLLER LUCIANO MARIA JOSÉ DIAS DE FREITAS LIVIA PEREIRA DE PAULA NEWTON MITSUSHIGUE KAMIMURA ANDREA GOMES NAZUTO GONÇALVES GABRIELLA GONÇALVES SIMÕES MILTON AUGUSTO BARBOSA ALICE ANTONIA DONDONI NETA ROBERTA AKEMI SIONARA HELLEN CRISTINE SILVA ARAUJO TARCILA CAZETTA LIBERATO","PORTARIA BTV.0008/2021, DE 28 DE JANEIRO DE 2021, Art. 2º"
Quais são as servidoras designadas como orientadoras de estágios do Curso de Licenciatura em Pedagogia do Câmpus Boituva?,"Carolina Machado D'Avila, Débora Rodrigues Moura, Elaine Andrade Peres Fernandes, Katiana de Lima Alves Silva e Maria José Dias de Freitas","Art 1.º DESIGNAR, as servidoras Carolina Machado D'Avila, Débora Rodrigues Moura, Elaine Andrade Peres Fernandes, Katiana de Lima Alves Silva, Maria José Dias de Freitas, ocupantes do cargo Professor Ensino Básico, Técnico e Tecnológico, pertencente ao Quadro deste IFSP, como orientadoras de estágios do Curso de Licenciatura em Pedagogia do Câmpus Boituva, com incentivo de 4 (quatro) horas semanais.","PORTARIA BTV.0006/2021, DE 27 DE JANEIRO DE 2021, Art 1.º"
Quem é o responsável pela designação dos servidores para compor a Comissão para Processo Seletivo para seleção de Técnicos Administrativos para afastamento remunerado para participação em programa de pós-graduação?,"O Diretor Geral de Educação em exercício do Campus Boituva, do Instituto Federal de Tecnologia de São Paulo.","no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, e no que diz a Portaria Nº 2252, de 7 de junho de 2020.","PORTARIA BTV.0002/2021, DE 13 DE JANEIRO DE 2021, Art. 1º"
Quem é o responsável pela Comissão Local para Permanência e Êxito dos Estudantes no Câmpus Boituva do IFSP?,"Flávio Aparecido Pontes, Diretor Adjunto Educacional","Art 2º - DESIGNAR, os membros abaixo relacionados, sob a presidência do primeiro, para constituírem a Comissão Local para Permanência e Êxito do Estudantes. |SERVIDOR|CARGO|REPRESENTAÇÃO| |---|---|---| |Flávio Aparecido Pontes|Diretor Adjunto Educacional|Diretoria Adjunta Educacional|","PORTARIA BTV.0001/2021, DE 11 DE JANEIRO DE 2021, Art 2º"
Quem é o diretor-geral do Câmpus Boituva do IFSP que resolveu designar servidores para compor a Comissão de Elaboração e Implementação do PPC de Redes de Computadores do Câmpus Boituva?,O diretor-geral do Câmpus Boituva do IFSP é Felipe Augusto Ferreira de Almeida.,"O DIRETOR-GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e conforme a Portaria 2582 de 17 de julho de 2020, RESOLVE:","Portaria BTV.0122/2019, de 17 de novembro de 2019, Art. 1º"
Quem são os representantes do IFSP-Câmpus Boituva na Comissão de Acompanhamento e Fiscalização do Acordo de Cooperação com a Fundação Instituto de Educação de Barueri-FIEB?,Juliana Cristina Barbosa Cazaça (titular) e Mariangela Alves Dias (suplente),"Art 1.º DESIGNAR, os representantes abaixo relacionados para compor a Comissão de Acompanhamento e Fiscalização do Acordo de Cooperação firmado entre o IFSP-Câmpus Boituva e a Fundação Instituto de Educação de Barueri-FIEB., ... |Representantes de Boituva:| |---| |Juliana Cristina Barbosa Cazaça (titular)| |Mariangela Alves Dias (suplente)|","PORTARIA BTV.0068/2020, DE 13 DE AGOSTO DE 2020, Art 1º"
"Quem é o responsável pela Portaria nº 3.903, de 4 de novembro de 2015?","O Diretor Geral do Câmpus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo","O DIRETOR GERAL DO CÂMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015...","Portaria nº 3.903, de 4 de novembro de 2015, Art. 1º"
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO","Portaria nº 3.903, de 04 de novembro de 2015, Título: Portaria nº 3.903, de 04 de novembro de 2015"
Quem é o responsável pela organização das reuniões da Comissão Especial de Compras e Acompanhamento das Ações de Alimentação Escolar do Câmpus Boituva?,O presidente da Comissão,"Art 2º - Ficará a cargo da Presidente da Comissão, organizar as reuniões, que deverão ser registradas em ata específica contendo o tema ou pauta da reunião e assinaturas dos presentes.","Portaria nº 3.903, de 04 de novembro de 2015, Art 2º"
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO","Portaria nº 3.903, de 04 de novembro de 2015, Título: MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO"
Quem é o diretor geral do Câmpus Boituva do IFSP?,Felipe Augusto Ferreira de Almeida,"O DIRETOR GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e a Resolução 19/2019 (que referenda a Resolução 16/2019), RESOLVE:","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º"
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO","Portaria nº 3.903, de 04 de novembro de 2015, Título: Portaria nº 3.903, de 04 de novembro de 2015"
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO","Portaria nº 3.903, de 04 de novembro de 2015, Título: Portaria nº 3.903, de 04 de novembro de 2015"
Quem é o responsável pela fiscalização do contrato de serviços continuados de recepcionista no Câmpus Boituva do IFSP?,"A servidora Alexsandra Brandão Marcon, CPF: 173.825.878-51, como titular, e a servidora Bianca Mendes Santos, CPF: 384.548.118-85, como substituta.","Art 1º - DESIGNAR, a servidora Alexsandra Brandão Marcon, CPF: 173.825.878-51 como titular e, como substituta a servidora Bianca Mendes Santos, CPF: 384.548.118-85, para nos termos do artigo 67 da Lei nº 8.666/93, exercer a fiscalização e acompanhamento do contrato abaixo relacionado:","PORTARIA BTV.0043/2021, DE 01 DE JUNHO DE 2021, Art 1º"
"Quem é o responsável pela Portaria BTV.0002/2021, de 13 de janeiro de 2021?","O Diretor-Geral do Câmpus Boituva, do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL DO CÂMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015, e no que diz a Portaria Nº 2252, de 17 de junho de 2020, RESOLVE:","PORTARIA BTV.0002/2021, DE 13 DE JANEIRO DE 2021, Art 1º"
Quem delegou atribuições legais ao Diretor-Geral do Câmpus Boituva?,"A Portaria nº 3.903, de 04 de novembro de 2015","no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015","Portaria nº 3.903, de 04 de novembro de 2015, Art 1º"
Quais são as datas de vigência e entrada em vigor da Portaria nº 77/2021 - DRG/BTV/IFSP?,A Portaria nº 77/2021 - DRG/BTV/IFSP tem vigência até o dia 01 de fevereiro de 2022 e entra em vigor a partir de sua publicação.,Art 6º - Esta Portaria tem vigência até o dia 01 de fevereiro de 2022. Art 7º - Esta Portaria entra em vigor a partir de sua publicação.,"PORTARIA N.º 77/2021 - DRG/BTV/IFSP, DE 5 DE OUTUBRO DE 2021"
"Quais são as atribuições do Grupo de Trabalho de Acolhimento para servidores, terceirizados e discentes do Câmpus Boituva do IFSP?",O Grupo de Trabalho é responsável pelo estudo e elaboração de proposta para acolhimento no momento de retorno gradual das atividades presenciais e elaboração de material de conscientização.,"Art 2º - ATRIBUIÇÕES DO GRUPO: responsável pelo estudo e elaboração de proposta para acolhimento no momento de retorno gradual das atividades presenciais e elaboração de material de conscientização (cartilha, cartazes, podcasts, vídeos curtos a serem colocados na televisão e totens, material digital para site e redes sociais, etc.).","PORTARIA BTV.0032/2021, DE 04 DE MAIO DE 2021, Art 2º"
O que é o IFSP?,"O IFSP é o Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, uma autarquia federal vinculada ao Ministério da Educação.","Art 1º - O INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO – IFSP, com sede e foro na cidade de São Paulo, criado nos termos da Lei nº. 11.892, de 29 de dezembro de 2008, constitui-se em autarquia federal, vinculada ao Ministério da Educação, detentora de autonomia administrativa, patrimonial, financeira, didático-pedagógica e disciplinar.","Estatuto do IFSP, Art. 1º"
"Quais são os objetivos da Comissão de Trabalho, que constitui a 'Equipe de Formação Continuada' do Câmpus Boituva do IFSP?","Seguir as políticas de formação continuada de professores do IFSP, aprovada pela Resolução nº 138/2015, de 08 de dezembro de 2015.","Art 2º - A Comissão de Trabalho, que constitui a “Equipe de Formação Continuada” do Câmpus Boituva tem como objetivo, seguir as políticas de formação continuada de professores do IFSP, aprovada pela Resolução nº 138/2015, de 08 de dezembro de 2015.","PORTARIA BTV.0041/2021, DE 31 DE MAIO DE 2021, Art 2º"
Quais são as atribuições do grupo de trabalho para Contribuições da EaD para o Ensino Remoto Emergencial?,"Responsável pela elaboração de tutoriais e materiais de formação para docentes, discentes e técnicos administrativos.","Art 2º - ATRIBUIÇÕES DO GRUPO: responsável pela elaboração de tutoriais e materiais de formação para docentes, discentes e técnicos administrativos. Este GT trabalhará em conjunto com a equipe de formação continuada, contribuindo para viabilizar as propostas dos cursos e turmas quando forem necessárias a utilização das atividades remotas.","PORTARIA BTV.0030/2021, DE 04 DE MAIO DE 2021, Art 2º"
Quem é o responsável pela organização das reuniões da Comissão de Elaboração e Implementação do Projeto Pedagógico do Curso Técnico em Secretaria Escolar Concomitante/Subsequente do Câmpus Boituva?,O Presidente da Comissão,"Art 2º. Ficará a cargo do Presidente da Comissão, organizar as reuniões, que deverão ser registradas em ata específica contendo o tema ou pauta da reunião e assinaturas dos presentes.","PORTARIA N.º 78/2021 - DRG/BTV/IFSP, DE 12 DE OUTUBRO DE 2021, Art 2º"
Quais são os servidores designados para o Núcleo Docente Estruturante do Curso de Gestão da Produção Industrial do Câmpus Boituva?,"Milton Augusto Barbosa, Felipe Ferreira de Lara, Andrea CrisGna Elias Ribeiro, Natallie Zilio de Souza Teixeira, Paulo Roberto Isler","Art 1.º - DESIGNAR os servidores abaixo relacionados para, sob a presidência e coordenação do primeiro, constituírem o Núcleo Docente Estruturante do Curso de Gestão da Produção Industrial do Câmpus Boituva:. |Nome do servidor|Titulação|Regime de Trabalho|Mandato Inicio| |---|---|---|---| |Milton Augusto Barbosa|Mestre|RDE|30.06.2017 (recondução até 29.06.2023)| |Felipe Ferreira de Lara|Doutor|RDE|30.06.2017 (recondução até 29.06.2023) (Com Itamar Chini/remoção)| |Andrea CrisGna Elias Ribeiro|Mestre|RDE|30.06.2017 (recondução até 29.06.2023) (Com Robert Dias Ximenes/remoção)| |Natallie Zilio de Souza Teixeira|Mestre|RDE|30.06.2017 (recondução até 29.06.2023)| |Paulo Roberto Isler|Doutor|RDE|30.06.2017 (recondução até 29.06.2023)|.","PORTARIA BTV.0010/2020, DE 21 DE FEVEREIRO DE 2020, Art 1º"
Quais são os segmentos que compõem o Conselho do Câmpus Boituva do IFSP?,"O Conselho do Câmpus Boituva do IFSP é composto por três segmentos: Docente, Técnico Administrativo e Discente.","Art 1.º - ESTENDER o mandato dos conselheiros do Câmpus Boituva DESIGNADOS pela Portaria BTV.0111/2019, de 26 de setembro de 2019 e empossados em reunião realizada na quinta reunião ordinária, realizada em 10 de outubro de 2019. ... |SEGMENTO DOCENTE|TITULARES|SUPLENTES| |---|---|---| ... |SEGMENTO TÉCNICO ADMINISTRATIVO|TITULARES|SUPLENTES| ... |SEGMENTO DISCENTE|TITULARES|SUPLENTES|","Portaria BTV.0111/2019, de 26 de setembro de 2019, Art 1º e seguintes"
